zip,locality,canton
3674,"Brenzikofen,Buchholterberg,Fahrni,Herbligen,Oberdiessbach",BE
3700,"Aeschi bei Spiez,Reutigen,Spiez,Thunersee,Wimmis",BE
3702,"Aeschi bei Spiez,Spiez",BE
3703,"Aeschi bei Spiez,Krattigen,Lauterbrunnen,Leissigen,Reichenbach im Kandertal,Saxeten,Spiez",BE
3704,"Aeschi bei Spiez,Krattigen,Leissigen,Spiez,Thunersee",BE
3705,"Krattigen,Spiez,Thunersee",BE
3706,"Aeschi bei Spiez,Därligen,Krattigen,Leissigen,Saxeten,Thunersee",BE
3707,"Därligen,Interlaken,Leissigen,Matten bei Interlaken,Saxeten,Thunersee,Wilderswil",BE
3711,"Aeschi bei Spiez,Reichenbach im Kandertal,Spiez,Wimmis",BE
3713,"Aeschi bei Spiez,Frutigen,Reichenbach im Kandertal,Wimmis",BE
3714,"Diemtigen,Frutigen,Kandergrund,Reichenbach im Kandertal",BE
3716,"Frutigen,Kandergrund",BE
3717,"Frutigen,Kandergrund,Kandersteg",BE
3722,Reichenbach im Kandertal,BE
3723,"Aeschi bei Spiez,Frutigen,Kandergrund,Kandersteg,Lauterbrunnen,Reichenbach im Kandertal",BE
3724,"Diemtigen,Frutigen",BE
3725,"Adelboden,Diemtigen,Frutigen,Kandergrund,Kandersteg",BE
3752,"Aeschi bei Spiez,Diemtigen,Erlenbach im Simmental,Reichenbach im Kandertal,Reutigen,Wimmis",BE
3753,"Diemtigen,Reichenbach im Kandertal,Wimmis",BE
3754,"Diemtigen,Erlenbach im Simmental",BE
3755,"Diemtigen,Erlenbach im Simmental,Frutigen,Reichenbach im Kandertal",BE
3756,"Därstetten,Diemtigen,Erlenbach im Simmental,Oberwil im Simmental,Zweisimmen",BE
3757,"Adelboden,Diemtigen,Frutigen,St. Stephan,Zweisimmen",BE
3758,"Diemtigen,Erlenbach im Simmental,Reutigen,Wimmis",BE
3762,"Därstetten,Diemtigen,Erlenbach im Simmental,Reutigen",BE
3763,"Blumenstein,Därstetten,Erlenbach im Simmental,Pohlern",BE
3764,"Därstetten,Diemtigen,Erlenbach im Simmental,Oberwil im Simmental,Rüeggisberg,Rüschegg",BE
3770,"Boltigen,Diemtigen,St. Stephan,Zweisimmen",BE
3771,"Diemtigen,St. Stephan,Zweisimmen",BE
3772,"Lenk,Saanen,St. Stephan,Zweisimmen",BE
3773,"Adelboden,Diemtigen,Lenk,St. Stephan,Zweisimmen",BE
3776,"Boltigen,Saanen,St. Stephan,Zweisimmen",BE
3777,"Saanen,Zweisimmen",BE
3780,"Lauenen,Saanen",BE
3781,"Lauenen,Lenk,Saanen,St. Stephan",BE
3800,"Beatenberg,Bönigen,Brienzersee,Därligen,Habkern,Interlaken,Matten bei Interlaken,Ringgenberg (BE),Sigriswil,Thunersee,Unterseen,Wilderswil",BE
3803,"Beatenberg,Habkern,Horrenbach-Buchen,Sigriswil,Unterseen",BE
3804,"Beatenberg,Eriz,Habkern,Niederried bei Interlaken,Oberried am Brienzersee,Ringgenberg (BE),Schangnau,Unterseen",BE
3805,"Brienzersee,Interlaken,Ringgenberg (BE),Unterseen",BE
3806,"Bönigen,Brienzersee,Gsteigwiler,Gündlischwand,Interlaken,Iseltwald,Matten bei Interlaken,Wilderswil",BE
3807,"Bönigen,Brienz (BE),Brienzersee,Grindelwald,Gündlischwand,Iseltwald,Lütschental",BE
